fighter_name,Height,Weight,Reach,Stance,DOB
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,21-Apr-80
Greg Nagy,"6' 1""",210 lbs.,,Orthodox,18-Oct-83
Greg Rebello,"6' 0""",240 lbs.,"73""",Southpaw,13-Jun-82
Greg Scott,"5' 9""",145 lbs.,,,
Greg Soto,"5' 11""",170 lbs.,"73""",Orthodox,3-Jun-86
Greg Stott,"5' 7""",220 lbs.,,Southpaw,
Greg Wilson,,155 lbs.,,,2-Oct-88
Gregor Gillespie,"5' 7""",155 lbs.,"71""",Orthodox,13-Nov-86
Gregory Bouchelaghem,"6' 2""",183 lbs.,,Switch,
Grigorii Popov,"5' 7""",135 lbs.,"68""",Switch,18-Apr-84
Guido Cannetti,"5' 6""",135 lbs.,"68""",Southpaw,19-Dec-79
Guilherme Costa,,155 lbs.,,,
Guilherme Vasconcelos,"6' 0""",185 lbs.,"74""",Orthodox,23-Mar-86
Guilherme Viana,"6' 4""",205 lbs.,,,
Gunnar Nelson,"5' 11""",170 lbs.,"72""",Switch,28-Jul-88
Gustavo Gabriel,"5' 6""",125 lbs.,,Orthodox,1-Apr-94
Guto Inocente,"6' 3""",205 lbs.,"77""",Orthodox,29-May-86
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,1-Jan-68
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,16-Jun-84
Hakeem Dawodu,"5' 8""",145 lbs.,"73""",Orthodox,2-Jul-91
Han Ten Yun,"5' 11""",220 lbs.,,,
Hannah Cifers,"5' 1""",115 lbs.,"63""",Orthodox,26-Jun-92
Hannah Goldy,"5' 4""",115 lbs.,"61""",Orthodox,18-May-92
Hans Nijman,"6' 0""",250 lbs.,,Switch,23-Oct-59
Hans Stringer,"6' 3""",205 lbs.,"73""",Orthodox,6-Jul-87
Harold Howard,"6' 2""",240 lbs.,,Orthodox,
Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,9-Sep-83
Harry Moskowitz,"6' 5""",275 lbs.,,Orthodox,
Hatsu Hioki,"5' 11""",145 lbs.,"70""",Orthodox,18-Jul-83
Haven Torres,,125 lbs.,,,
Hayato Sakurai,"5' 7""",168 lbs.,,Orthodox,24-Aug-75
Hayder Hassan,"5' 10""",170 lbs.,"70""",,20-Oct-82
He-Man Gipson,,,,,
Heath Herring,"6' 4""",250 lbs.,"78""",Orthodox,2-Mar-78
Heather Jo Clark,"5' 6""",115 lbs.,"64""",,19-Sep-80
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,17-Aug-88
Hector Lombard,"5' 9""",185 lbs.,"71""",Southpaw,2-Feb-78
Hector Ramirez,"6' 0""",205 lbs.,,Orthodox,28-Mar-76
Hector Sandoval,"5' 2""",125 lbs.,"64""",Orthodox,19-Jul-86
Hector Urbina,"5' 11""",170 lbs.,"73""",Orthodox,17-Sep-87
Helio Dipp,"6' 5""",185 lbs.,,Orthodox,
Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,1-Sep-89
Henry Briones,"5' 8""",135 lbs.,"69""",,22-Oct-80
Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,9-Feb-87
Henry Corrales,"5' 9""",145 lbs.,,,
Henry Martinez,"5' 7""",155 lbs.,"68""",Southpaw,7-Aug-83
Henry Miller,"5' 7""",270 lbs.,,Southpaw,16-Jul-69
Herman Renting,"6' 0""",215 lbs.,,Switch,
Herman Terrado,,170 lbs.,,,
Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,26-Aug-74
Hernani Perpetuo,"6' 0""",170 lbs.,"74""",Orthodox,24-May-85
Herschel Walker,"6' 1""",215 lbs.,,Orthodox,3-Mar-62
Hidehiko Hasegawa,"5' 9""",170 lbs.,,,13-Jul-78
Hidehiko Yoshida,"5' 11""",225 lbs.,,Orthodox,3-Sep-69
Hideo Tokoro,"5' 7""",135 lbs.,,Orthodox,22-Aug-77
Hidetaka Monma,"6' 0""",168 lbs.,,Orthodox,23-Oct-73
Hiroko Yamanaka,"5' 11""",135 lbs.,,,24-Oct-78
Hiromitsu Kanehara,"5' 10""",200 lbs.,,Orthodox,5-Oct-70
Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,22-Sep-81
Hiroshi Izumi,,205 lbs.,,Orthodox,22-Jun-82
Hirotaka Yokoi,"5' 11""",205 lbs.,,Orthodox,8-Jun-78
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,
Hiroyuki Takaya,"5' 6""",139 lbs.,,Orthodox,10-Jun-77
Hisaki Kato,"6' 0""",185 lbs.,,,17-Sep-82
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,27-Jul-74
Holly Holm,"5' 8""",145 lbs.,"69""",Southpaw,17-Oct-81
Homer Moore,"5' 10""",205 lbs.,,Orthodox,27-Nov-71
Hong Man Choi,"7' 2""",330 lbs.,,Orthodox,30-Oct-80
Horacio Gutierrez,"5' 10""",145 lbs.,"69""",,15-Sep-90
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,22-Mar-72
Houston Dorr,"6' 1""",210 lbs.,,Orthodox,
Hu Yaozong,"6' 3""",205 lbs.,"72""",Orthodox,7-Apr-95
Hugh Pulley,"6' 0""",155 lbs.,,,
Hugo Duarte,"6' 0""",240 lbs.,,Orthodox,9-Aug-68
Hugo Govea,,,,,
Hugo Sandoval,,135 lbs.,,,
Hugo Viana,"5' 6""",135 lbs.,"67""",Orthodox,26-Sep-82
Humberto Bandenay,"5' 11""",145 lbs.,,Southpaw,4-Sep-94
Humberto Brown,"5' 10""",145 lbs.,"71""",,3-Nov-84
Humberto DeLeon,,135 lbs.,,,12-Nov-89
Hunter Worsham,,185 lbs.,,,
Hussain Rasouli,"5' 6""",135 lbs.,,,
Hyun Gyu Lim,"6' 3""",170 lbs.,"77""",Orthodox,16-Jan-85
Ian Butler,"5' 8""",155 lbs.,,,
Ian Entwistle,"5' 5""",135 lbs.,"64""",Orthodox,19-Nov-86
Ian Freeman,"5' 11""",225 lbs.,,Orthodox,10-Nov-66
Ian Heinisch,"5' 11""",185 lbs.,"72""",Orthodox,5-Aug-88
Ian Loveland,"5' 8""",145 lbs.,,Orthodox,7-Sep-83
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,7-May-84
Ian Murphy,"6' 1""",185 lbs.,,Orthodox,14-Jun-85
Ian Rammel,"6' 0""",185 lbs.,,,22-Jul-85
Ibragim Magomedov,"6' 0""",250 lbs.,,Orthodox,
Icho Larenas,"6' 3""",235 lbs.,,Orthodox,12-Mar-80
Ido Pariente,"5' 8""",155 lbs.,,Orthodox,
Idris Wasi,"6' 0""",186 lbs.,,,11-Dec-89
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,6-Dec-80
Igor Borisov,"6' 0""",235 lbs.,,Orthodox,
Igor Gracie,"5' 11""",170 lbs.,,,4-Feb-80
Igor Pokrajac,"6' 0""",205 lbs.,"76""",Orthodox,2-Jan-79
Igor Vovchanchyn,"5' 8""",205 lbs.,,Orthodox,6-Aug-73
Igor Zinoviev,"6' 1""",199 lbs.,,Orthodox,
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,12-Jan-76
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,18-Nov-82
Iliarde Santos,"5' 5""",125 lbs.,"66""",Orthodox,25-Sep-80
Ilima Macfarlane,"5' 4""",125 lbs.,,,
Ilir Latifi,"5' 10""",205 lbs.,"73""",Orthodox,28-Jul-83
Ilya Kotau,,170 lbs.,,,
Imani Lee,,,,Orthodox,
Ion Cherdivara,,205 lbs.,,,
Ion Cutelaba,"6' 1""",205 lbs.,"75""",Southpaw,14-Dec-93
Iony Razafiarison,"5' 3""",145 lbs.,,,23-Dec-84
Iouri Kotchkine,"6' 2""",235 lbs.,,Orthodox,
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,26-Mar-88
Isaac Vallie-Flagg,"5' 8""",155 lbs.,"68""",Orthodox,8-Apr-78
Isaiah Hill,"5' 10""",155 lbs.,,,
Isao Kobayashi,"5' 8""",145 lbs.,,,28-Oct-88
Islam Makhachev,"5' 10""",155 lbs.,"70""",Orthodox,27-Oct-91
Ismail Naurdiev,"5' 10""",170 lbs.,"74""",Orthodox,18-Aug-96
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89
Israel Albuquerque,,185 lbs.,,Orthodox,
Israel Delgado,"5' 10""",155 lbs.,,,
Israel Giron,"5' 8""",155 lbs.,,,16-Jan-74
Issac DeJesus,,145 lbs.,,,
Issei Tamura,"5' 5""",135 lbs.,"63""",Orthodox,12-Mar-84
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,4-Aug-80
Ivan Cole,"5' 9""",135 lbs.,,,30-Nov-90
Ivan Jorge,"5' 9""",155 lbs.,"73""",Orthodox,7-Nov-80
Ivan Lopez,"5' 6""",135 lbs.,,Southpaw,
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,30-May-82
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,11-Jan-71
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,
Ivan Shtyrkov,"6' 0""",205 lbs.,"74""",Orthodox,9-Jun-88
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,11-Jul-91
J.T Taylor,"5' 10""",,,,
JC Cottrell,"5' 9""",155 lbs.,"71""",Orthodox,4-Nov-89
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,29-Sep-92
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,
JJ Okanovich,"5' 11""",155 lbs.,,,4-Nov-90
JP Buys,"5' 6""",125 lbs.,"66""",Orthodox,30-Apr-96
JP Felty,,170 lbs.,,,28-Apr-79
JR Coughran,"5' 6""",145 lbs.,"71""",Orthodox,17-May-94
JW Wright,,130 lbs.,,,12-Jan-76
Jacare Souza,"6' 1""",185 lbs.,"72""",Orthodox,7-Dec-79
Jack Hermansson,"6' 1""",185 lbs.,"77""",Orthodox,10-Jun-88
Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,19-Dec-89
Jack May,"6' 8""",255 lbs.,"79""",Switch,14-Apr-81
Jack McGlaughlin,,,,Orthodox,
Jack Morrison,"5' 11""",205 lbs.,,,
Jack Nilson,,,,,
Jack Shore,"5' 9""",135 lbs.,,,6-Feb-95
Jackie Lee,,,,,
Jacob Kilburn,"5' 9""",145 lbs.,"71""",Orthodox,28-Jun-95
Jacob Noe,,205 lbs.,,,
Jacob Rosales,"5' 11""",155 lbs.,,Orthodox,28-Jul-95
Jacob Volkmann,"5' 9""",155 lbs.,"71""",Southpaw,5-Sep-80
Jadson Costa,"5' 7""",155 lbs.,,Orthodox,
Jae Suk Lim,"5' 9""",170 lbs.,,Orthodox,9-Nov-79
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,8-Mar-88
Jaime Jara,"6' 1""",205 lbs.,,Southpaw,2-Aug-69
Jaimee Nievera,"5' 5""",125 lbs.,,Orthodox,28-Oct-84
Jairzinho Rozenstruik,"6' 4""",242 lbs.,"78""",Orthodox,17-Mar-88
Jake Collier,"6' 3""",205 lbs.,"78""",Orthodox,25-Oct-88
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,28-Mar-85
Jake Hecht,"6' 0""",170 lbs.,"76""",Orthodox,9-Feb-84
Jake Lindsey,"5' 11""",155 lbs.,"71""",Switch,21-Jun-86
Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,19-Aug-94
Jake O'Brien,"6' 3""",205 lbs.,"76""",Orthodox,25-Sep-84
Jake Rosholt,"6' 1""",185 lbs.,,Orthodox,9-Feb-82
Jake Shields,"6' 0""",170 lbs.,"72""",Orthodox,9-Jan-79
Jakob Lovstad,"6' 3""",205 lbs.,,Orthodox,
Jalin Turner,"6' 3""",155 lbs.,"77""",Southpaw,18-May-95
Jamahal Hill,"6' 4""",250 lbs.,,,19-May-91
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,24-Jul-89
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,12-Sep-84
Jamelle Jones,"6' 0""",205 lbs.,"75""",Orthodox,31-Jan-88
James Barnes,"5' 8""",145 lbs.,,,
James Bochnovic,"6' 4""",205 lbs.,"81""",Orthodox,13-Feb-89
James Gabert,,178 lbs.,,,
James Giboo,"5' 11""",170 lbs.,,Orthodox,6-Jan-78
James Gray,"5' 9""",135 lbs.,,Orthodox,25-Oct-87
James Hammortree,"6' 3""",185 lbs.,,Orthodox,29-Nov-83
James Head,"6' 1""",170 lbs.,"73""",Orthodox,9-Feb-84
James Irvin,"6' 2""",205 lbs.,"75""",Orthodox,12-Sep-78
James Krause,"6' 2""",170 lbs.,"73""",Orthodox,4-Jun-86
James Lee,"5' 11""",205 lbs.,,Southpaw,22-Sep-73
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,24-Oct-80
James Moontasri,"5' 10""",170 lbs.,"71""",Switch,10-Apr-88
James Mulheron,"5' 10""",243 lbs.,"73""",Orthodox,20-Feb-88
James Reese,"5' 9""",155 lbs.,,,21-Dec-80
James Te Huna,"6' 2""",185 lbs.,"75""",Orthodox,29-Sep-81
James Terry,"5' 10""",170 lbs.,,Orthodox,16-Mar-81
James Thompson,"6' 5""",265 lbs.,,Orthodox,16-Dec-78
James Toney,"5' 9""",220 lbs.,,Orthodox,24-Aug-68
James Vick,"6' 3""",155 lbs.,"76""",Orthodox,23-Feb-87
James Wade,"5' 10""",205 lbs.,,,
James Wallace,"5' 10""",155 lbs.,"69""",Orthodox,17-Nov-92
James Wilks,"6' 1""",170 lbs.,"75""",Orthodox,4-May-78
James Zikic,"6' 2""",205 lbs.,,Orthodox,1-Mar-77
Jamie Colleen,"5' 3""",115 lbs.,"65""",Orthodox,2-Nov-85
Jamie Houston,,185 lbs.,,,
Jamie Moyle,"5' 1""",115 lbs.,"65""",Orthodox,17-Mar-89
Jamie Pickett,"6' 2""",185 lbs.,"80""",Orthodox,29-Aug-88
Jamie Varner,"5' 8""",155 lbs.,"72""",Orthodox,12-Oct-84
Jamie Yager,"6' 1""",185 lbs.,,Orthodox,29-Nov-83
Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,24-Feb-83
Jan Finney,"5' 8""",135 lbs.,,Orthodox,
Jan Nortje,"6' 1""",310 lbs.,,Southpaw,11-Apr-75
Janay Harding,,135 lbs.,,,
Jared Cannonier,"5' 11""",185 lbs.,"77""",Switch,16-Mar-84
Jared Chaffee,"5' 10""",155 lbs.,,,15-Dec-84
Jared Gordon,"5' 9""",155 lbs.,"68""",Orthodox,6-Sep-88
Jared Hamman,"6' 3""",185 lbs.,"75""",Orthodox,7-Mar-82
Jared Papazian,"5' 8""",135 lbs.,"67""",Southpaw,1-Feb-88
Jared Rollins,"5' 9""",170 lbs.,,Orthodox,26-Jan-77
Jared Rosholt,"6' 2""",265 lbs.,"75""",Orthodox,4-Aug-86
Jarjis Danho,"6' 3""",265 lbs.,"74""",Orthodox,15-Oct-83
Jarred Brooks,"5' 3""",125 lbs.,"62""",Switch,2-May-93
Jarrod Kwitty,"5' 8""",185 lbs.,,,
Jason Black,"5' 8""",155 lbs.,,Orthodox,15-Jul-72
Jason Blackford,,,,,
Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,7-Jul-75
Jason Butcher,"6' 3""",185 lbs.,,,23-Oct-84
Jason Day,"6' 0""",185 lbs.,"72""",Orthodox,19-May-81
Jason DeLucia,"5' 11""",190 lbs.,,Southpaw,24-Jul-69
Jason Dent,"5' 10""",155 lbs.,"71""",Orthodox,12-Jun-80
Jason Fairn,"6' 1""",230 lbs.,,,
Jason Freeman,"6' 2""",225 lbs.,,,2-Sep-76
Jason Gilliam,"6' 0""",170 lbs.,,Orthodox,
Jason Glaza,"6' 0""",230 lbs.,,,
Jason Godsey,"6' 2""",230 lbs.,,Orthodox,
Jason Gonzalez,"6' 2""",155 lbs.,"74""",Southpaw,28-Feb-90
Jason Guida,"5' 10""",214 lbs.,,,4-Aug-77
Jason High,"5' 8""",155 lbs.,"71""",Southpaw,12-Oct-81
Jason Ireland,"5' 9""",161 lbs.,,Southpaw,30-Dec-79
Jason Jackson,"6' 1""",170 lbs.,"78""",Orthodox,30-Oct-90
Jason Knight,"5' 10""",145 lbs.,"71""",Orthodox,14-Jul-92
Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,3-Jun-75
Jason MacDonald,"6' 3""",185 lbs.,"80""",Orthodox,3-Jun-75
Jason McLean,"5' 5""",145 lbs.,,,
Jason Medina,"5' 9""",180 lbs.,,,
Jason Miller,"6' 1""",185 lbs.,"72""",Orthodox,24-Dec-80
Jason Novelli,"6' 0""",155 lbs.,"75""",Orthodox,8-Jun-79
Jason Reinhardt,"5' 6""",135 lbs.,,Orthodox,31-Oct-69
Jason Riley,"6' 6""",245 lbs.,,,22-Sep-75
Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,23-Nov-85
Jason Sharp,,205 lbs.,,,
Jason Suttie,"6' 0""",210 lbs.,,Orthodox,7-Aug-73
Jason Tan,"5' 10""",170 lbs.,,Orthodox,17-Dec-81
Jason Thacker,"5' 10""",185 lbs.,,Orthodox,18-Aug-75
Jason Von Flue,"6' 0""",170 lbs.,,Orthodox,1-Aug-75
Jason Young,"5' 9""",145 lbs.,"73""",Orthodox,28-Jun-86
Javi Alanis,"5' 6""",135 lbs.,,,
Javier Vazquez,"5' 7""",145 lbs.,"69""",Southpaw,16-Jul-77
Javy Ayala,"6' 1""",265 lbs.,,,20-Aug-88
Jay Bogan,,145 lbs.,,,
Jay Cucciniello,"5' 7""",155 lbs.,,Orthodox,23-Jul-86
Jay Hieron,"6' 0""",170 lbs.,"75""",Orthodox,29-Jul-76
Jay Silva,"6' 2""",185 lbs.,,Southpaw,
Jean Francois Lenogue,"6' 0""",185 lbs.,,Orthodox,29-Nov-72
Jean Silva,"5' 6""",160 lbs.,,Orthodox,8-Oct-77
Jeff Bedard,"5' 6""",145 lbs.,,Orthodox,6-Feb-70
Jeff Cox,"5' 10""",155 lbs.,,Orthodox,2-Aug-68
Jeff Crotty,,155 lbs.,,,
Jeff Curran,"5' 6""",135 lbs.,"69""",Orthodox,2-Sep-77
Jeff Hougland,"5' 7""",135 lbs.,"68""",Orthodox,2-Aug-78
Jeff Hughes,"6' 2""",250 lbs.,"78""",Orthodox,17-May-88
Jeff Joslin,"6' 0""",170 lbs.,,Orthodox,30-Apr-75
Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,18-Jan-71
Jeff Newton,"6' 2""",205 lbs.,,Sideways,11-Dec-66
Jeff Terry,"6' 2""",205 lbs.,,,
Jeimeson Saudino,"5' 6""",135 lbs.,,,5-Mar-91
Jenel Lausa,"5' 5""",125 lbs.,"68""",Orthodox,1-Aug-88
Jenna Castillo,"5' 2""",125 lbs.,,,5-May-82
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,6-Oct-88
Jens Pulver,"5' 7""",145 lbs.,"70""",Southpaw,6-Dec-74
Jeremiah Billington,"5' 9""",205 lbs.,,Orthodox,14-Nov-77
Jeremiah Constant,"6' 1""",240 lbs.,,Orthodox,19-Jul-74
Jeremiah Labiano,"5' 10""",135 lbs.,,,
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,
Jeremiah O'Neal,"5' 8""",260 lbs.,,,25-Oct-77
Jeremiah Riggs,"6' 0""",185 lbs.,,,17-Dec-82
Jeremie Holloway,"6' 0""",170 lbs.,,,29-Sep-84
Jeremy Boczulak,,,,,
Jeremy Hamilton,,185 lbs.,,,14-Nov-84
Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,25-Aug-75
Jeremy Jackson,"5' 10""",170 lbs.,,Orthodox,19-Sep-82
Jeremy Kennedy,"5' 11""",145 lbs.,"71""",Orthodox,16-Sep-92
Jeremy Kimball,"6' 0""",205 lbs.,"72""",Switch,3-Jan-91
Jeremy Lang,"5' 11""",205 lbs.,,Southpaw,11-May-75
Jeremy Larsen,"5' 10""",145 lbs.,"70""",Orthodox,18-May-84
Jeremy Malaterre,"5' 11""",155 lbs.,,,
Jeremy May,"6' 1""",185 lbs.,,,23-Oct-86
Jeremy Stephens,"5' 8""",145 lbs.,"71""",Orthodox,25-May-86
Jeremy Tavares,,135 lbs.,,,
Jeremy Umphries,,160 lbs.,,,
Jeremy Wallace,"5' 9""",,,,
Jeri Sitzes,"5' 5""",125 lbs.,,,
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,
Jerome LeBanner,"6' 3""",265 lbs.,,Southpaw,26-Dec-72
Jerrel Venetiaan,"6' 1""",195 lbs.,,Orthodox,9-Mar-71
Jerrod Sanders,"5' 8""",135 lbs.,"72""",Orthodox,1-Oct-79
Jerron Peoples,"6' 0""",170 lbs.,,,4-May-82
Jerry Bohlander,"5' 11""",199 lbs.,,Orthodox,12-Feb-74
Jess Bouscal,,155 lbs.,,,
Jess Liaudin,"5' 9""",170 lbs.,"72""",Orthodox,
Jessamyn Duke,"5' 11""",135 lbs.,"73""",,24-Jun-86
Jesse Bongfeldt,"6' 0""",185 lbs.,,Orthodox,28-Aug-80
Jesse Finney,"6' 0""",170 lbs.,,,11-Jul-74
Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,24-Oct-84
Jesse Fujarczyk,"6' 4""",225 lbs.,,Southpaw,28-Jan-83
Jesse Gillespie,,185 lbs.,,,
Jesse Jones,"5' 9""",170 lbs.,,,
Jesse Juarez,"6' 1""",170 lbs.,,Orthodox,8-May-81
Jesse Lennox,"5' 9""",170 lbs.,"72""",Orthodox,10-Mar-82
Jesse Moreng,"5' 7""",145 lbs.,,Orthodox,9-Nov-79
Jesse Ronson,"5' 10""",155 lbs.,"72""",Southpaw,24-Dec-85
Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,
Jesse Taylor,"6' 0""",170 lbs.,"73""",Orthodox,2-Jan-83
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,8-May-82
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,27-Jul-86
Jessica Penne,"5' 5""",115 lbs.,"67""",,30-Jan-83
Jessica Rakoczy,"5' 7""",115 lbs.,"68""",Orthodox,14-Apr-77
Jessica-Rose Clark,"5' 5""",125 lbs.,"64""",Orthodox,28-Nov-87
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,31-May-92
Jesus Pinedo,"5' 10""",155 lbs.,,,22-Jun-96
Ji Yeon Kim,"5' 7""",125 lbs.,"72""",Orthodox,18-Oct-89
Jianping Yang,"5' 7""",145 lbs.,"65""",Orthodox,27-Nov-88
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,14-Oct-86
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,30-Aug-83
Jim Mullen,"6' 1""",215 lbs.,,Southpaw,
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,18-Feb-80
Jimmie Rivera,"5' 4""",135 lbs.,"68""",Orthodox,29-Jun-89
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,26-Jan-70
Jimmy Crute,"6' 2""",205 lbs.,"74""",Orthodox,4-Mar-96
Jimmy Quinlan,"6' 0""",185 lbs.,"72""",Orthodox,25-May-86
Jimmy Wallhead,"5' 10""",170 lbs.,"73""",Orthodox,14-Mar-84
Jimy Hettes,"5' 9""",145 lbs.,"71""",Southpaw,9-Jun-87
Jin Oh Kim,"5' 9""",205 lbs.,,Orthodox,
Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,1-Apr-93
Joachim Christensen,"6' 3""",205 lbs.,"76""",Orthodox,7-Nov-78
Joachim Hansen,"5' 7""",150 lbs.,,Southpaw,26-May-79
Joanna Jedrzejczyk,"5' 6""",125 lbs.,"65""",Orthodox,18-Aug-87
Joanne Calderwood,"5' 6""",125 lbs.,"65""",Orthodox,23-Dec-85
Joao Paulo Faria,"5' 9""",155 lbs.,,,
Joao Pierini,"6' 1""",155 lbs.,,Switch,11-Dec-71
Joao Roque,"5' 6""",155 lbs.,,Orthodox,22-Jul-71
Joao Zeferino,"5' 11""",170 lbs.,"73""",Orthodox,15-Jan-86
Joaquim Silva,"5' 8""",155 lbs.,"69""",,5-Feb-89
Joby Sanchez,"5' 6""",135 lbs.,"68""",Orthodox,24-Jun-91
Jocelyn Jones-Lybarger,"5' 7""",115 lbs.,"64""",Orthodox,4-Oct-85
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,7-May-86
Joe Benoit,"5' 9""",170 lbs.,,Orthodox,12-Mar-82
Joe Brammer,"5' 8""",155 lbs.,,Orthodox,23-Aug-83
Joe Camacho,"5' 9""",155 lbs.,,Orthodox,10-Mar-72
Joe Cason,"6' 3""",205 lbs.,,,19-Jan-88
Joe Charles,"6' 1""",260 lbs.,,Southpaw,
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,9-Oct-77
Joe Duarte,,155 lbs.,,,25-Jan-77
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,18-Feb-88
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,28-Mar-85
Joe Giannetti,"6' 0""",155 lbs.,"74""",Southpaw,5-Jul-95
Joe Gigliotti,"5' 11""",185 lbs.,"69""",Orthodox,13-Aug-93
Joe Hernandez,,,,,
Joe Hurley,"5' 8""",155 lbs.,,,24-Jun-78
Joe Jordan,"5' 6""",155 lbs.,,Orthodox,27-Jul-78
Joe Lauzon,"5' 10""",155 lbs.,"71""",Orthodox,22-May-84
Joe Lowry,"5' 10""",155 lbs.,"72""",Orthodox,12-Dec-89
Joe Martin,"5' 9""",170 lbs.,,,
Joe Merritt,"6' 0""",170 lbs.,"73""",Orthodox,7-Mar-84
Joe Moreira,"5' 11""",195 lbs.,,Southpaw,
Joe Neal,"5' 6""",135 lbs.,,,29-Jul-86
Joe Pardo,"6' 1""",210 lbs.,,Southpaw,
Joe Pearson,"5' 10""",145 lbs.,,Orthodox,28-Mar-78
Joe Proctor,"5' 10""",155 lbs.,"72""",Orthodox,10-Aug-85
Joe Ray,,170 lbs.,,,17-Dec-84
Joe Riggs,"6' 0""",185 lbs.,"70""",Southpaw,23-Sep-82
Joe Schilling,"6' 3""",185 lbs.,,,
Joe Slick,"6' 0""",199 lbs.,,Orthodox,17-Oct-77
Joe Son,"5' 4""",236 lbs.,,Orthodox,22-Nov-70
Joe Soto,"5' 6""",135 lbs.,"65""",Orthodox,22-Mar-87
Joe Stevenson,"5' 7""",145 lbs.,"70""",Orthodox,15-Jun-82
Joe Taimanglo,"5' 4""",135 lbs.,,,27-Jun-84
Joe Vedepo,"6' 0""",185 lbs.,,Orthodox,
Joe Veres,"5' 7""",155 lbs.,,Orthodox,9-Nov-77
Joe Warren,"5' 6""",135 lbs.,,Orthodox,31-Oct-76
Joe Wilk,"5' 9""",145 lbs.,,,12-Apr-82
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2-Mar-94
Joel Sutton,"5' 11""",205 lbs.,,Orthodox,
Joel Thomas ,"5' 10""",170 lbs.,,,
Joey Armstrong,,,,,
Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,8-Dec-81
Joey Gambino,"5' 7""",145 lbs.,,Orthodox,26-Oct-88
Joey Gilbert,"5' 11""",155 lbs.,,Orthodox,5-Jun-76
Joey Gomez,"5' 10""",155 lbs.,"71""",Orthodox,29-Aug-89
Joey Roberts,"6' 2""",200 lbs.,,,
Joey Villasenor,"6' 0""",185 lbs.,,Orthodox,17-Oct-75
Johil de Oliveira,"5' 6""",170 lbs.,,Orthodox,
