fighter_name,Height,Weight,Reach,Stance,DOB
Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,16-Feb-89
Andy Ologun,"6' 0""",154 lbs.,,Orthodox,12-Jun-83
Andy Uhrich,"6' 0""",170 lbs.,,,
Andy Wang,"5' 6""",155 lbs.,,Orthodox,28-May-77
Andy Waters,"6' 0""",170 lbs.,,,
Angel De Anda,"5' 9""",225 lbs.,,Orthodox,28-May-85
Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,12-Jan-85
Angela Magana,"5' 1""",115 lbs.,"65""",,2-Aug-83
Angelo Antonio,,205 lbs.,,Orthodox,
Angelo Trevino,"5' 11""",170 lbs.,,Switch,10-Jun-93
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,1-May-88
Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,6-Oct-84
Ansar Chalangov,"5' 9""",170 lbs.,,Orthodox,30-Oct-79
Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,13-Jan-88
Anthony Alves,,,,,
Anthony Avila,"5' 7""",145 lbs.,,,29-Dec-88
Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,16-May-86
Anthony Christodoulou,"5' 9""",155 lbs.,"72""",Orthodox,30-Jul-87
Anthony Do,"5' 4""",125 lbs.,,,
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,
Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,14-Apr-80
Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,18-Oct-93
Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,6-Mar-84
Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,13-Feb-80
Anthony Leone,"5' 6""",135 lbs.,,Orthodox,27-May-87
Anthony Macias,"5' 9""",185 lbs.,,Switch,
Anthony Morrison,"5' 7""",145 lbs.,,Orthodox,29-Mar-84
Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,1-Mar-80
Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,5-Oct-72
Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,27-Jan-87
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,11-Dec-89
Anthony Ruiz,"6' 2""",205 lbs.,,Orthodox,3-Nov-77
Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,26-Jul-88
Anthony Taylor,"5' 7""",145 lbs.,,,
Anthony Torres,"5' 8""",170 lbs.,,Orthodox,31-Jul-78
Anton Berzin,"6' 2""",205 lbs.,,Orthodox,29-Sep-89
Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,1-May-84
Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,10-May-87
Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,5-Feb-76
Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,20-Nov-84
Antonio Arroyo,"6' 0""",185 lbs.,,Orthodox,1-Jul-89
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,23-Sep-79
Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,29-Oct-87
Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,16-Mar-90
Antonio Carvalho,"5' 9""",145 lbs.,"68""",Orthodox,30-May-79
Antonio Dos Santos,"5' 10""",185 lbs.,"72""",Orthodox,21-Jul-88
Antonio Duarte,"5' 7""",135 lbs.,,,
Antonio Jones,"5' 11""",185 lbs.,,Orthodox,12-Apr-85
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,12-Mar-70
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,19-Apr-81
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,1-Jun-74
Antonio Silva,"6' 4""",264 lbs.,"80""",Orthodox,14-Sep-79
Antonio Trocoli,"6' 5""",205 lbs.,,,6-Dec-90
Antony Rea,"6' 0""",205 lbs.,,Orthodox,15-Jul-76
Antwain Britt,"6' 1""",205 lbs.,"77""",,9-May-78
Ariane Lipski,"5' 3""",125 lbs.,"67""",Orthodox,26-Jan-94
Ariel Beck,"5' 6""",125 lbs.,"66""",,16-Sep-90
Ariel Gandulla,"5' 11""",205 lbs.,,Orthodox,7-May-68
Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,13-May-86
Arlene Blencowe,"5' 5""",145 lbs.,,,11-Apr-83
Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,11-Oct-96
Armando Villarreal,"5' 7""",145 lbs.,,,8-Aug-89
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94
Art Arciniega,"5' 8""",145 lbs.,,,15-Oct-81
Art Jimmerson,"6' 1""",196 lbs.,,Orthodox,4-Aug-63
Art Santore,"6' 2""",185 lbs.,,,26-Oct-72
Artem Frolov,"5' 10""",185 lbs.,,,7-Sep-91
Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,11-Aug-86
Artenus Young,,205 lbs.,,,16-Jul-80
Artur Oumakhanov,"5' 7""",154 lbs.,,Orthodox,27-Feb-79
Asbel Cancio,"5' 10""",225 lbs.,,,
Ashe Bowman,"5' 9""",155 lbs.,,,17-Nov-76
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,15-Sep-85
Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,9-Jul-87
Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,20-Oct-87
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,1-Mar-95
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,18-Jun-74
Atsushi Yamamoto,"5' 6""",139 lbs.,,Orthodox,2-Oct-80
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,3-Mar-83
Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,25-Oct-84
Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,9-May-91
Aurelijus Kerpe,,,,Orthodox,
Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,9-Nov-87
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91
Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,22-Dec-91
Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,12-May-87
Austin Tweedy,"5' 9""",155 lbs.,"68""",Orthodox,25-Sep-90
Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,21-Mar-90
Azamat Gashimov,"5' 6""",125 lbs.,"66""",Orthodox,7-Apr-90
Azamat Murzakanov,"5' 11""",205 lbs.,,,
BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,13-Dec-78
Bao Quach,"5' 3""",145 lbs.,,Orthodox,4-Sep-79
Barb Honchak,"5' 4""",125 lbs.,"65""",,30-Aug-79
Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,30-May-83
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,26-Apr-86
Baru Harn,,265 lbs.,,,
Bas Rutten,"6' 1""",205 lbs.,,Orthodox,24-Feb-65
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,23-Aug-91
Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,11-Feb-89
Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,9-Jul-88
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,
Ben Holscher,"5' 11""",155 lbs.,,,
Ben Jones,,185 lbs.,,,
Ben Lagman,"6' 2""",185 lbs.,,,4-Sep-86
Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,3-Aug-88
Ben Reiter,"6' 3""",185 lbs.,,,27-Jun-87
Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,17-Oct-81
Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,13-Apr-83
Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,25-Mar-89
Bendy Casimir,"5' 5""",145 lbs.,,Southpaw,10-Jun-80
Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,6-May-89
Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,6-Apr-94
Benji Radach,"5' 10""",185 lbs.,,Orthodox,5-Apr-79
Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,19-Feb-81
Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,16-Nov-83
Bentley Syler,"5' 4""",125 lbs.,"68""",Orthodox,22-Dec-82
Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,8-Apr-81
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,
Besam Yousef,"5' 11""",170 lbs.,"71""",Orthodox,25-Mar-85
Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,22-Jun-83
Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,5-May-91
